 ticker 
 XOM 
 WFC 
 JNJ 
 GE 
 CHL 
 JPM 
 NVS 
 WMT 
 PFE 
 T 
 PG 
 TM 
 VZ 
 DIS 
 BUD 
 KO 
 BAC 
 ORCL 
 V 
 BABA 
 C 
 HD 
 HSBC 
 CVX 
 MRK 
 NVO 
 IBM 
 PEP 
 PTR 
 SNY 
 PM 
 UNH 
 AGN 
 CVS 
 TSM 
 MO 
 MA 
 BMY 
 TOT 
 LFC 
 NKE 
 MDT 
 LLY 
 ABBV 
 GSK 
 BP 
 SLB 
 MCD 
 BA 
 UPS 
 MMM 
 MTU 
 AZN 
 NTT 
 LYG 
 SNP 
 UTX 
 RY 
 SAP 
 GS 
 SAN 
 AXP 
 UNP 
 HON 
 ABEV 
 VRX 
 AIG 
 USB 
 TD 
 UBS 
 DCM 
 UN 
 DEO 
 KMI 
 AMX 
 BCS 
 LOW 
 MS 
 ABT 
 LMT 
 ACN 
 RAI 
 COP 
 TEF 
 DHR 
 SPG 
 TWX 
 E 
 CL 
 HMC 
 F 
 ING 
 SMFG 
 TWC 
 PUK 
 TEVA 
 BNS 
 EPD 
 BBVA 
 BHP 
 MET 
 DOW 
 OXY 
 TMO 
 BLK 
 UL 
 NGG 
 TGT 
 HDB 
 TJX 
 CEO 
 RIO 
 DUK 
 GM 
 CRM 
 MFG 
 STO 
 MCK 
 HPQ 
 EMC 
 PNC 
 CNI 
 NEE 
 GD 
 ITUB 
 DD 
 CAT 
 BK 
 PSX 
 EOG 
 AET 
 D 
 ABB 
 CS 
 FDX 
 INFY 
 CHA 
 MON 
 ORAN 
 COF 
 LYB 
 KMB 
 SO 
 ANTM 
 DB 
 AMT 
 SU 
 SCHW 
 SYK 
 DAL 
 CI 
 PSA 
 KR 
 LVS 
 TMUS 
 BCE 
 HCA 
 GIS 
 BMO 
 PRU 
 YUM 
 ENB 
 BBL 
 VMW 
 WMB 
 APC 
 ECL 
 ACE 
 LUX 
 FMX 
 HAL 
 CAJ 
 PCP 
 RTN 
 NOC 
 CHU 
 SYT 
 TRI 
 TRV 
 RBS 
 MFC 
 ITW 
 BAM 
 VFC 
 PX 
 CCL 
 VLO 
 EMR 
 SNE 
 BDX 
 WIT 
 EL 
 APD 
 CM 
 BBD 
 MMC 
 STT 
 HUM 
